user_id,gender,has_name,has_ava,has_bio,has_geo,has_birth,reg_time,sunshine,blog_num,followe,follower,FFR,weibo_level,vip_level,certify,avg_com,avg_ret,label
6983540570,m,0,0,0,0,0,20190127,2,71,0,1,0,4,0,0,0,0,0
6983540218,m,0,0,0,0,0,20190120,2,67,0,1,0,4,0,0,0,0,0
6774397824,m,0,0,0,1,2,20181017,2,62,0,1,0,4,0,0,0,0,0
6983540259,m,0,0,0,0,0,20190120,2,59,0,1,0,4,0,0,0,0,0
6982933141,m,0,0,0,0,0,20190119,2,58,0,1,0,4,0,0,0,0,0
6773155877,f,0,0,0,1,2,20181017,2,57,0,1,0,4,0,0,0,0,0
6976834875,m,0,0,0,0,0,20190118,2,56,0,1,0,4,0,0,0,0,0
6779105878,m,0,0,0,0,0,20190119,3,55,6,1,6,4,0,0,0,0,0
6903597388,m,0,0,0,0,0,20190120,3,55,6,1,6,4,0,0,0,0,0
6983540294,m,0,0,0,0,0,20190124,2,54,0,1,0,4,0,0,0,0,0
6909545754,m,0,0,0,0,0,20190118,3,53,3,1,3,4,0,0,0,0,0
6751970583,m,0,0,0,1,2,20181009,2,53,61,1,61,3,0,0,0,0,0
6909540305,m,0,0,0,0,0,20190118,3,50,3,1,3,4,0,0,0,0,0
6904445864,m,0,0,0,0,0,20190119,3,50,6,1,6,4,0,0,0,0,0
6876213597,f,0,0,0,1,0,20181206,2,49,0,1,0,4,0,0,0,0,0
6912382868,m,0,0,0,0,0,20190118,3,49,2,1,2,4,0,0,0,0,0
6606024937,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6923672187,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6961950244,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6962146160,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6983540614,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6983605928,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6996511427,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
